X,Y,OBJECTID,PWS_ID,PWS_NAME,CITY,DS_RO_SEQ_NO,MCD_CODE,MUNI_TYPE_CODE,SURVEY_TOWNSHIP,SURVEY_RANGE,SURVEY_RANGE_NDIR,SURVEY_SECTION,NUMBER_ENTRY_POINTS,SAMPLE_STATUS,SAMPLE_DATE,SAMPLE_RESULTS
574066.375,288718.031199999,85554,11302456,MONONA WATERWORKS,MONONA,134798,58,2,7,10,4,17,3,Sampled,2023/04/10 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
502867.6563,538105.2499,87989,86101268,RIB LAKE WATERWORKS,RIB LAKE,151647,38,0,33,2,4,27,1,Sampled,2023/05/31 00:00:00+00,PFAS not detected in any samples from the water system
537278.6875,233226.8749,89822,12300772,BROWNTOWN WATERWORKS,BROWNTOWN,135752,10,1,1,6,4,9,1,,,
669597.375,442214.531400001,91857,40516256,LAWRENCE WATERWORKS,DE PERE,7904186,,,23,20,4,30,3,,,
361944.1875,696865.8124,95115,81601476,SUPERIOR WATER LIGHT & POWER COMPANY,SUPERIOR,150531,30,0,49,14,2,13,1,Sampled,2023/06/07 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
665713.3751,256077.859300001,95975,25202023,WATERFORD WATERWORKS,WATERFORD,138044,16,0,4,19,4,35,3,Sampled,2023/06/12 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
466546.4374,278931.5625,96040,12200969,FENNIMORE WATERWORKS,FENNIMORE,135594,16,0,6,2,2,19,2,Sampled,2023/04/19 00:00:00+00,PFAS not detected in any samples from the water system
421345.1875,425729.843800001,97506,66202741,BLAIR WATERWORKS,BLAIR,146744,6,2,21,7,2,16,2,Sampled,2023/06/01 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
421932.5938,372489.593800001,102191,63203096,LA CROSSE WATERWORKS,LA CROSSE,145893,46,2,16,7,2,33,11,Sampled,2023/05/23 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
508363.2812,341664.218800001,105510,15708495,IRONTON WATERWORKS,LA VALLE,152664,,,12,3,4,4,1,,,
652396.6875,288108.156300001,124797,26846424,DELAFIELD WATERWORKS,DELAFIELD,4040431,,,7,18,4,21,2,Sampled,2023/04/10 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
676118.25,440719.875,132573,40514188,LEDGEVIEW TN SANITARY DIST 2,DE PERE,153226,,,23,20,4,35,3,,,
319823.1562,555830.5625,133636,64903322,CENTURIA WATERWORKS,CENTURIA,146398,11,1,34,18,2,11,2,Sampled,2023/06/14 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
527384.1876,359257.1875,136443,72901246,LYNDON STATION WATERWORKS,LYNDON STATION,147256,46,1,14,5,4,9,2,Sampled,2023/05/23 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
431316.625,352974.468599999,145899,66302511,CHASEBURG WATERWORKS VILLAGE OF,CHASEBURG,146846,11,1,14,6,2,33,1,Sampled,2023/04/11 00:00:00+00,PFAS not detected in any samples from the water system
674742.1875,514478.25,152739,43804442,POUND WATERWORKS,POUND,141999,28,0,30,20,4,11,1,Sampled,2023/06/06 00:00:00+00,PFAS not detected in any samples from the water system
679233.5624,233885.703199999,154006,23000505,BRISTOL WATERWORKS VILLAGE OF,BRISTOL,137041,4,0,1,21,4,7,3,Sampled,2023/04/24 00:00:00+00,PFAS not detected in any samples from the water system
679220.1876,444044.468699999,157401,40504552,ALLOUEZ WATERWORKS,GREEN BAY,140145,14,0,23,21,4,19,3,,,
570749.6875,264300.0624,160394,12300750,BROOKLYN WATERWORKS,BROOKLYN,135750,6,0,4,9,4,1,2,Sampled,2023/04/04 00:00:00+00,PFAS not detected in any samples from the water system
440682.1874,274418.531300001,164581,12201134,PATCH GROVE WATERWORKS,PATCH GROVE,135606,48,0,5,5,2,4,1,,,
588911.0626,449033.468699999,172040,46903945,IOLA WATERWORKS,IOLA,143775,18,0,24,11,4,35,2,Sampled,2023/04/24 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
418973.7813,477487.281400001,172691,61802961,FALL CREEK WATERWORKS,FALL CREEK,145638,27,1,26,7,2,6,3,Sampled,2023/06/01 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
587512.8125,429700.468699999,182118,46903956,WISCONSIN VETERANS HOME,KING,143776,,,22,11,4,34,2,,,
496416.5625,542890.7501,188254,86103468,WESTBORO SAN DIST 1,WESTBORO,151789,44,0,33,1,4,12,2,,,
641147.125,372281.25,191446,42004050,NORTH FOND DU LAC WATERWORKS,NORTH FOND DU LAC,141192,,,16,17,4,32,2,Sampled,2023/05/16 00:00:00+00,PFAS not detected in any samples from the water system
421000.0626,554501.5,193840,85501273,BRUCE WATERWORKS,BRUCE,151049,6,1,34,7,2,5,1,Sampled,2023/05/31 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
596659.4374,261874.25,199445,15412232,FULTON UTILITY DISTRICT,EDGERTON,8724111,,,4,12,4,10,1,,,
653800.3749,424304.281300001,201687,44503382,LITTLE CHUTE WATERWORKS,LITTLE CHUTE,142913,46,1,21,18,4,21,3,Sampled,2023/03/06 00:00:00+00,PFAS not detected in any samples from the water system
498989.8751,382584.843900001,211125,72901213,CAMP DOUGLAS WATERWORKS,CAMP DOUGLAS,147253,11,1,17,2,4,28,1,Sampled,2023/05/31 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
350177.9376,480599.093800001,212342,64802507,ELMWOOD WATERWORKS,ELMWOOD,146286,22,1,27,15,2,36,3,Sampled,2023/05/24 00:00:00+00,PFAS not detected in any samples from the water system
487473.3438,264165.968900001,214330,12500862,REWEY WATERWORKS,REWEY,135830,76,1,4,1,4,5,2,Sampled,2022/06/07 00:00:00+00,PFAS not detected in any samples from the water system
489313.1249,387785.2499,215380,64200697,OAKDALE WATERWORKS,OAKDALE,8757420,,,17,1,4,9,1,Sampled,2023/05/03 00:00:00+00,PFAS not detected in any samples from the water system
446115.2188,381897.8126,216623,63203338,ROCKLAND WATERWORKS,ROCKLAND,145912,76,1,17,5,2,36,2,Sampled,2023/06/06 00:00:00+00,PFAS not detected in any samples from the water system
537776.3124,438155.156199999,216850,77201718,BIRON WATER UTILITY,WISCONSIN RAPIDS,149660,,,22,6,4,3,2,Sampled,2023/05/23 00:00:00+00,PFAS not detected in any samples from the water system
443890.25,267929.4375,220727,12200859,BLOOMINGTON WATERWORKS,BLOOMINGTON,135584,4,0,5,5,2,26,1,Sampled,2023/06/14 00:00:00+00,PFAS not detected in any samples from the water system
667629.8125,409815.3126,221492,40802696,HILBERT WATERWORKS,HILBERT,140361,36,1,19,20,4,6,2,Sampled,2023/04/25 00:00:00+00,PFAS not detected in any samples from the water system
649585.1251,258974.156400001,224585,26501233,EAST TROY WATERWORKS,EAST TROY,138395,8,0,4,18,4,19,4,Sampled,2023/04/04 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
391682.8749,598585.1875,239551,85805027,STONE LAKE SANITARY DISTRICT,STONE LAKE,153680,,,39,10,2,19,1,,,
683184.875,371371.468699999,241099,46004475,ROCKY KNOLL HEALTH CARE FAC,PLYMOUTH,143500,16,0,15,21,4,3,2,,,
684629.4376,301731.625,241476,24105565,BROWN DEER WATERWORKS,BROWN DEER,137406,7,1,8,21,4,11,2,Sampled,2022/06/22 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
541627.7499,554144.9376,243831,73501274,TOMAHAWK WATERWORKS,TOMAHAWK,147590,30,0,34,6,4,3,2,Sampled,2023/04/18 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
493021.2188,659311.8125,244389,82601189,IRON BELT WATERWORKS,IRON BELT,150772,,,45,1,4,3,1,Sampled,2022/08/04 00:00:00+00,PFAS not detected in any samples from the water system
450659.8436,352944.5625,246215,66302676,WESTBY WATERWORKS,WESTBY,146860,91,2,14,4,2,33,2,Sampled,2023/06/07 00:00:00+00,PFAS not detected in any samples from the water system
390345.3126,539217.75,253696,60301296,CHETEK WATERWORKS,CHETEK,144645,12,0,33,10,2,30,2,Sampled,2023/05/23 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
678789.0624,248378.0155,255599,25202001,UNION GROVE WATERWORKS,UNION GROVE,138043,86,1,3,21,4,30,3,,,
680448.6251,355215.906300001,255626,46004365,CASCADE WATERWORKS,CASCADE,143492,11,1,14,21,4,29,3,Sampled,2023/05/02 00:00:00+00,PFAS not detected in any samples from the water system
441304.25,407462.343599999,257247,62702937,MELROSE WATERWORKS,MELROSE,145775,34,0,19,5,2,9,2,Sampled,2023/04/10 00:00:00+00,PFAS not detected in any samples from the water system
428796.1562,498240.093800001,258489,60904503,CADOTT WATERWORKS,CADOTT,144982,11,1,29,6,2,31,3,Sampled,2023/04/26 00:00:00+00,PFAS not detected in any samples from the water system
537170.75,299652.718800001,259025,11302390,MAZOMANIE WATERWORKS,MAZOMANIE,134792,34,0,8,6,4,16,2,Sampled,2023/04/10 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
514330.9687,505734.843699999,262156,73701496,ATHENS WATERWORKS,ATHENS,147771,2,1,29,4,4,6,1,Sampled,2023/05/24 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
444466.0001,316110.906300001,269723,61202460,MOUNT STERLING WATERWORKS,MOUNT STERLING,145406,51,1,10,5,2,26,1,,,
658632.875,424348.718599999,277198,44503360,KAUKAUNA UTILITIES,KAUKAUNA,142911,26,0,21,18,4,24,3,Sampled,2023/01/25 00:00:00+00,PFAS not detected in any samples from the water system
374383.4376,418270.6251,281787,60602267,COCHRANE WATERWORKS,COCHRANE,144865,11,1,20,12,2,9,1,Sampled,2023/05/03 00:00:00+00,PFAS not detected in any samples from the water system
530779.5626,331949.1875,289532,15700960,NORTH FREEDOM WATERWORKS,NORTH FREEDOM,136622,61,1,11,5,4,2,2,Sampled,2023/05/23 00:00:00+00,PFAS not detected in any samples from the water system
689494.6875,295287.4375,290517,24105972,WHITEFISH BAY WATERWORKS,WHITEFISH BAY,137437,92,1,8,22,4,32,1,,,
625996.4376,237535.0,294065,26500573,DARIEN WATERWORKS,DARIEN,138382,4,0,2,15,4,27,3,Sampled,2023/05/23 00:00:00+00,PFAS not detected in any samples from the water system
548589.6249,236835.5625,308775,12300783,MONROE WATERWORKS,MONROE,135753,20,0,2,7,4,34,5,Sampled,2023/03/08 00:00:00+00,PFAS not detected in any samples from the water system
489161.4376,317543.343800001,310386,15300681,RICHLAND CENTER WATERWORKS,RICHLAND CENTER,136255,76,2,10,1,4,21,3,Sampled,2023/04/24 00:00:00+00,PFAS not detected in any samples from the water system
663716.625,283467.3124,315353,26802380,WAUKESHA WATER UTILITY,WAUKESHA,139217,32,0,6,19,4,3,9,Sampled,2022/10/29 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
617233.0626,281291.125,319079,12801041,JEFFERSON WATERWORKS,JEFFERSON,135941,14,0,6,14,4,11,4,Sampled,2023/04/18 00:00:00+00,PFAS not detected in any samples from the water system
618650.5,362353.25,325181,42004028,BRANDON WATERWORKS,BRANDON,141191,6,1,15,14,4,36,2,Sampled,2023/06/12 00:00:00+00,PFAS not detected in any samples from the water system
545292.3124,481644.343900001,326142,73724805,MOSINEE EAST SYSTEM,MOSINEE,68797731,,,27,7,4,21,3,Sampled,2023/05/09 00:00:00+00,PFAS above the health advisory level in one or more samples from the system
498952.8437,357696.968800001,326400,72901367,UNION CENTER WATERWORKS,UNION CENTER,147266,86,1,14,2,4,16,1,Sampled,2022/05/11 00:00:00+00,PFAS not detected in any samples from the water system
624196.1876,565714.6875,327910,72101084,LAONA SANITARY DIST,LAONA,147116,18,0,36,15,4,31,1,Sampled,2022/09/21 00:00:00+00,PFAS not detected in any samples from the water system
398048.5626,526291.3751,328522,60904613,NEW AUBURN WATERWORKS,NEW AUBURN,144991,61,1,31,10,2,1,2,Sampled,2023/04/03 00:00:00+00,PFAS not detected in any samples from the water system
652197.25,424304.468699999,331563,44503426,KIMBERLY WATERWORKS,KIMBERLY,142914,41,1,21,18,4,20,3,Sampled,2023/05/09 00:00:00+00,PFAS not detected in any samples from the water system
498720.0624,277245.718800001,335629,12502380,EDMUND TN OF LINDEN SAN DIST 1,EDMUND,135925,,,6,2,4,28,1,,,
668954.0,362965.4999,341765,46004497,KETTLE MORAINE CORRECTIONAL INSTITUTION,PLYMOUTH,143502,16,0,15,20,4,31,2,,,
469657.3437,228792.281400001,345014,12201057,MARYVILLE SD 2,HAZEL GREEN,135599,,,1,2,2,28,1,Sampled,2022/06/01 00:00:00+00,PFAS not detected in any samples from the water system
549905.7499,500923.968900001,352673,73701023,WAUSAU WATERWORKS,WAUSAU,147766,80,0,29,7,4,24,2,Sampled,2023/04/12 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
675981.3125,235432.0625,358375,23001462,PADDOCK LAKE WATERWORKS,PADDOCK LAKE,137079,71,1,1,20,4,2,1,Sampled,2023/05/11 00:00:00+00,PFAS not detected in any samples from the water system
653480.6876,328850.718800001,364421,26701048,ALLENTON SANITARY DISTRICT,ALLENTON,138782,,,11,18,4,16,2,Sampled,2023/05/02 00:00:00+00,PFAS not detected in any samples from the water system
358258.9688,674596.9999,374290,81601454,MANITOU FALLS SANITARY DISTRICT NO 1,SUPERIOR,150529,30,0,47,14,2,27,1,,,
530883.8124,248052.906300001,379196,13300683,ARGYLE WATERWORKS,ARGYLE,136180,2,0,3,5,4,26,3,Sampled,2023/06/05 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
684176.6874,334171.7501,381428,24601093,FREDONIA WATERWORKS,FREDONIA,137678,6,0,12,21,4,34,2,Sampled,2023/05/23 00:00:00+00,PFAS not detected in any samples from the water system
455251.3126,425391.3751,381629,62702992,BROCKWAY SANITARY DIST 1,BLACK RIVER FALLS,145779,,,21,4,2,13,2,Sampled,2023/05/03 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
560569.0626,414931.593800001,386197,47002681,PLAINFIELD WATERWORKS,PLAINFIELD,144055,22,0,20,8,4,13,2,Sampled,2023/06/05 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
594682.1876,504283.906199999,386657,45904551,MATTOON WATERWORKS,MATTOON,143219,51,1,29,12,4,9,2,Sampled,2023/04/20 00:00:00+00,PFAS not detected in any samples from the water system
542876.25,599479.5626,388684,74401162,LAKELAND SANITARY DIST 1,MINOCQUA,148133,16,0,39,6,4,14,2,Sampled,2023/06/05 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
378547.6562,625951.1876,388930,86603033,MINONG WATERWORKS,MINONG,151807,30,0,42,12,2,26,2,Sampled,2023/06/07 00:00:00+00,PFAS not detected in any samples from the water system
623395.375,315656.2501,389358,11401401,CLYMAN WATERWORKS,CLYMAN,135277,12,0,10,15,4,28,3,Sampled,2023/04/18 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
327755.9688,555453.625,392795,64903300,BALSAM LAKE WATERWORKS,BALSAM LAKE,146397,6,0,34,17,2,10,2,Sampled,2023/06/15 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
553191.4999,253007.968699999,393705,12300838,MONTICELLO WATERWORKS,MONTICELLO,135757,51,1,3,8,4,7,2,Sampled,2023/05/10 00:00:00+00,PFAS not detected in any samples from the water system
723784.3126,463200.031300001,406723,43102807,ALGOMA WATERWORKS,ALGOMA,141601,1,2,25,25,4,26,3,Sampled,2023/04/11 00:00:00+00,PFAS not detected in any samples from the water system
569163.1249,278716.6249,410162,11310046,FITCHBURG UTILITY DIST 1 SOUTH,FITCHBURG,135161,32,0,6,9,4,23,2,Sampled,2023/06/13 00:00:00+00,PFAS not detected in any samples from the water system
675904.75,448783.781300001,421979,40504563,ASHWAUBENON WATERWORKS,GREEN BAY,140146,14,0,23,20,4,2,7,,,
510066.2812,346468.7499,429866,15701136,LA VALLE WATERWORKS,LA VALLE,136637,24,0,13,3,4,22,1,Sampled,2023/05/09 00:00:00+00,PFAS not detected in any samples from the water system
676668.125,283677.843900001,435044,26802171,NEW BERLIN WATER UTILITY,NEW BERLIN,139200,61,2,6,20,4,1,2,,,
439133.2188,435269.781300001,436734,62702926,HIXTON WATERWORKS,HIXTON,145774,24,0,22,5,2,17,2,Sampled,2023/06/06 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
613159.0001,232471.125,438535,15401144,CLINTON WATERWORKS,CLINTON,136358,10,0,1,14,4,8,2,Sampled,2023/06/19 00:00:00+00,PFAS not detected in any samples from the water system
490753.2501,314249.0,440293,15300648,PINE VALLEY COMMUNITY VILLAGE,RICHLAND CENTER,136252,76,2,10,1,4,34,1,,,
478476.7812,497694.6874,442338,61003360,CLARK CO HEALTH CARE CENTER,OWEN,145283,65,2,29,1,2,32,2,Sampled,2023/06/14 00:00:00+00,PFAS not detected in any samples from the water system
667045.9376,374202.4375,446171,42004776,ST CLOUD WATERWORKS,ST CLOUD,141207,,,16,19,4,25,2,Sampled,2023/06/15 00:00:00+00,PFAS not detected in any samples from the water system
672923.375,440669.0625,446713,40504530,DE PERE WATERWORKS SA 1,DE PERE,140144,,,23,20,4,33,7,,,
562485.4375,340102.218699999,454691,11100397,PORTAGE WATERWORKS,PORTAGE,134504,71,2,12,9,4,7,2,Sampled,2023/05/11 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
489031.2187,233416.1876,455669,13300705,BENTON WATERWORKS,BENTON,136182,6,0,1,1,4,9,2,Sampled,2023/06/07 00:00:00+00,PFAS not detected in any samples from the water system
677451.75,450404.093800001,456981,40503562,GREEN BAY WATERWORKS,GREEN BAY,140141,14,0,24,20,4,36,9,Sampled,2023/04/03 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
503560.2189,301286.968599999,465204,15300615,LONE ROCK WATERWORKS,LONE ROCK,136251,46,1,8,2,4,12,2,,,
600904.8126,358911.2499,476000,42402184,MARKESAN WATERWORKS,MARKESAN,141496,51,2,14,13,4,7,2,Sampled,2023/05/15 00:00:00+00,PFAS not detected in any samples from the water system
450112.7187,559102.6876,478611,85504540,GLEN FLORA WATERWORKS,GLEN FLORA,4562607,,,35,4,2,20,1,,,
558129.5624,265811.656300001,484326,11302093,BELLEVILLE WATERWORKS,BELLEVILLE,134771,6,1,5,8,4,34,3,Sampled,2023/06/19 00:00:00+00,PFAS not detected in any samples from the water system
689588.7501,287201.4999,484540,24101000,MILWAUKEE WATERWORKS,MILWAUKEE,152454,51,2,7,22,4,29,2,Sampled,2023/02/20 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
450817.3126,316066.0624,494331,61202449,GAYS MILLS WATERWORKS,GAYS MILLS,145405,31,1,10,4,2,28,1,Sampled,2023/06/08 00:00:00+00,PFAS not detected in any samples from the water system
620403.3749,289552.843800001,494468,12801074,JOHNSON CREEK WATERWORKS,JOHNSON CREEK,135944,41,1,7,15,4,18,3,Sampled,2023/04/11 00:00:00+00,PFAS not detected in any samples from the water system
463326.3436,246564.343800001,494902,12201178,POTOSI WATERWORKS,POTOSI,135609,52,0,3,3,2,35,1,Sampled,2023/06/08 00:00:00+00,PFAS not detected in any samples from the water system
463326.3436,246564.343800001,494902,12201200,TENNYSON WATERWORKS,POTOSI,135611,52,0,3,3,2,35,1,Sampled,2023/06/08 00:00:00+00,PFAS not detected in any samples from the water system
679828.375,288566.1249,505627,24105961,WAUWATOSA WATERWORKS,WAUWATOSA,137436,91,2,7,21,4,20,3,,,
452040.3438,425414.9374,511627,62702442,BLACK RIVER FALLS WATERWORKS,BLACK RIVER FALLS,145767,6,2,21,4,2,15,4,Sampled,2023/06/19 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
408027.7499,490484.8125,517390,60908496,LAKE HALLIE WATERWORKS VILLAGE OF,CHIPPEWA FALLS,145256,11,2,28,9,2,25,5,Sampled,2023/06/19 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
358864.1561,509271.3749,517558,61702608,BOYCEVILLE WATERWORKS,BOYCEVILLE,145498,6,1,30,14,2,35,2,Sampled,2023/05/24 00:00:00+00,PFAS not detected in any samples from the water system
475261.4063,497710.8751,522788,61003349,OWEN WATERWORKS,OWEN,145282,65,2,29,2,2,36,3,Sampled,2023/06/06 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
609250.5001,289541.531300001,523572,12801085,LAKE MILLS WATERWORKS,LAKE MILLS,135945,18,0,7,13,4,13,3,Sampled,2023/04/27 00:00:00+00,PFAS not detected in any samples from the water system
472964.3126,235191.484300001,524862,12201035,KIELER SD NO 1,KIELER,135598,,,1,2,2,2,2,Sampled,2023/05/01 00:00:00+00,PFAS not detected in any samples from the water system
666755.8751,421131.593599999,531788,40507269,HOLLAND TN SANITARY DIST,TOWN OF HOLLAND,140308,,,21,19,4,35,2,Sampled,2023/05/02 00:00:00+00,PFAS not detected in any samples from the water system
539273.9999,457539.343800001,535296,75001278,JUNCTION CITY WATERWORKS,JUNCTION CITY,148680,41,1,24,6,4,2,1,Sampled,2023/05/23 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
718749.5,478808.281300001,547114,41500646,MAPLEWOOD SANITARY DIST 1,MAPLEWOOD,140467,,,26,25,4,5,2,,,
627517.7501,562580.2499,548951,72101128,BLACKWELL CIVILIAN CONSVTN CTR,LAONA,147119,18,0,35,15,4,9,1,,,
516642.5938,632002.5626,549525,82601200,MERCER SANITARY DISTRICT,MERCER,150773,12,0,43,4,4,31,2,Sampled,2023/05/22 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
325815.7813,460799.656300001,556663,64801539,BAY CITY WATERWORKS,BAY CITY,7224169,,,24,17,2,4,1,Sampled,2023/05/30 00:00:00+00,PFAS not detected in any samples from the water system
422954.3749,578725.0624,559328,85810153,EXELAND WATERWORKS,EXELAND,151613,21,1,37,7,2,21,1,,,
456120.3436,675739.1249,559936,80203739,ASHLAND WATER UTILITY,ASHLAND,149917,4,0,47,4,2,14,1,Sampled,2023/04/18 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
621117.8126,450866.25,561085,44508673,BEAR CREEK WATERWORKS,BEAR CREEK,143154,6,1,24,15,4,30,2,Sampled,2023/05/04 00:00:00+00,PFAS not detected in any samples from the water system
530810.5625,259317.328,563074,13300716,BLANCHARDVILLE WATERWORKS,BLANCHARDVILLE,136183,8,1,4,5,4,23,2,Sampled,2023/05/02 00:00:00+00,PFAS not detected in any samples from the water system
567552.9999,280348.5626,569310,11327591,RIMROCK ROAD NEIGHBORHOOD,FITCHBURG,6771170,,,6,9,4,15,1,,,
594979.875,475095.093900001,576863,45904628,TIGERTON WATERWORKS,TIGERTON,143224,86,1,26,12,4,9,2,Sampled,2023/06/15 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
583674.3749,301965.031199999,579790,11302588,SUN PRAIRIE UTILITIES,SUN PRAIRIE,134808,58,0,8,11,4,5,7,Sampled,2023/06/15 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
558027.375,280298.4999,579997,11302599,VERONA WATERWORKS,VERONA,134809,62,0,6,8,4,15,6,Sampled,2023/04/26 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
431074.3439,428872.031199999,586350,62702970,TAYLOR WATERWORKS,TAYLOR,145777,86,1,21,6,2,4,2,Sampled,2023/05/23 00:00:00+00,PFAS not detected in any samples from the water system
606471.7501,565505.0,588391,72101073,CRANDON WATERWORKS,CRANDON,147115,12,0,36,13,4,32,2,Sampled,2023/04/05 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
421739.5313,345088.156300001,589595,66302544,GENOA WATERWORKS,GENOA,146848,14,0,13,7,2,28,1,,,
580820.3751,239083.671800001,590350,15401320,ORFORDVILLE WATERWORKS,ORFORDVILLE,136371,65,1,2,10,4,24,2,Sampled,2023/06/14 00:00:00+00,PFAS not detected in any samples from the water system
